,id,gender_male,gender_female,age_<=18,age_19-29,age_30-39,age_>=40,org_non-org,org_is-org
2509,1567195262829068288,0.76173574,0.23826423,0.001288311,0.003338231,0.0026533622,0.9927201,0.98362756,0.016372435
2510,1567188605961121792,0.9969091,0.003090979,0.0007614446,0.0022727824,0.0019197699,0.995046,0.9939008,0.0060992357
2511,1567184601390452736,0.00090113847,0.9990989,0.7196755,0.18711862,0.011556705,0.08164921,0.9996325,0.00036748705
2512,1567183624881029122,0.98127395,0.018726021,0.024119835,0.07448412,0.116680264,0.7847157,0.9589827,0.04101731
2513,1567174820206370818,0.9987914,0.0012086517,0.22374228,0.5692638,0.112051606,0.09494231,0.99861825,0.0013817528
2514,1567165700594335746,0.9970914,0.0029085611,0.0305109,0.16147509,0.5750524,0.23296162,0.9965946,0.0034054143
2515,1567245463354482698,0.98127395,0.01872603,0.024119847,0.07448412,0.1166803,0.7847157,0.9589827,0.04101733
2516,1567211300949745672,0.9988696,0.0011304014,0.0038688565,0.056515705,0.22407344,0.715542,0.995811,0.0041889977
2517,1567271720767078404,0.99743265,0.0025673967,0.0011203054,0.0011404637,0.0007795684,0.9969597,0.9278916,0.07210837
2518,1567270378552131585,0.99709356,0.00290646,0.025777174,0.22676252,0.70892847,0.038531788,0.9985649,0.0014350831
2519,1567261123006824448,0.93019015,0.06980991,0.016250094,0.052946102,0.12013139,0.8106724,0.90935296,0.090647034
2520,1567260197407657986,0.008719913,0.99128014,0.03796926,0.17287374,0.07167669,0.71748036,0.9735961,0.026403975
2521,1567257491724959747,0.002413067,0.99758697,0.00014984969,0.00030823113,0.0007839482,0.99875796,0.9922495,0.007750585
2522,1567320262588211200,0.99942255,0.0005774458,8.083665e-06,6.690741e-05,0.0037962082,0.9961288,0.9721032,0.027896812
2523,1567314534867652609,0.00090113847,0.9990989,0.71967536,0.18711872,0.011556715,0.081649296,0.9996325,0.00036748723
2524,1567311050747400195,0.00090113847,0.9990989,0.71967536,0.18711872,0.011556715,0.081649296,0.9996325,0.00036748723
2525,1567297937939595266,0.99147636,0.008523613,0.005368018,0.020907698,0.01954279,0.95418143,0.9994097,0.0005903485
2526,1567364161641881600,0.9919757,0.008024229,9.9575715e-05,0.00039147143,9.83931e-05,0.9994105,0.9935142,0.0064857462
2527,1567342417749196801,0.97142404,0.028575901,0.08805124,0.8102367,0.07094563,0.03076649,0.9876808,0.012319194
2528,1567500641781649410,0.99998605,1.4006597e-05,0.0063114525,0.13414143,0.2948274,0.56471974,0.99656725,0.0034327214
2529,1567497323516674048,0.87808686,0.121913165,0.47390804,0.4987796,0.013202624,0.014109736,0.9981173,0.0018826643
2530,1567464444019482625,0.99905795,0.00094200496,8.716029e-05,0.00027130792,0.0004971465,0.9991443,0.99950767,0.0004922987
2531,1567446990425923584,0.98938316,0.010616794,0.21804485,0.34522772,0.099008806,0.33771864,0.9982799,0.0017201033
2532,1567446687756521474,0.98938316,0.010616794,0.21804485,0.34522772,0.099008806,0.33771864,0.9982799,0.0017201033
2533,1567446191754862593,0.98938316,0.010616794,0.21804485,0.34522772,0.099008806,0.33771864,0.9982799,0.0017201033
2534,1567537065931292674,0.9996594,0.00034058484,0.000625843,0.004556278,0.013945049,0.98087287,0.9982572,0.0017427214
2535,1567532815570403328,0.9581814,0.041818537,0.07451945,0.29778433,0.2733507,0.35434553,0.9889388,0.01106118
2536,1567531544474013697,0.9991454,0.00085460895,0.005151172,0.009506578,0.014152094,0.9711901,0.99660563,0.0033943192
2537,1567522276110630915,0.99559325,0.0044067795,0.12762682,0.106379814,0.10328961,0.6627038,0.99806017,0.0019397681
2538,1567561660059058179,0.98483384,0.015166083,0.67370296,0.23009181,0.091001324,0.005203888,0.9905962,0.009403808
2539,1567552428161089537,0.9996594,0.00034058467,0.000625843,0.004556278,0.013945049,0.98087287,0.9982572,0.0017427214
2540,1567551849720385537,0.9996594,0.00034058484,0.000625843,0.004556278,0.013945049,0.98087287,0.9982572,0.0017427214
2541,1567548787777732609,0.00073219376,0.99926776,0.000111753005,0.00033538215,0.0013823753,0.9981705,0.99800557,0.0019944136
2542,1567541982930550784,0.9996594,0.00034058484,0.000625843,0.004556278,0.013945049,0.98087287,0.9982572,0.0017427214
